actor,movie_or_TV_name
Benedict Cumberbatch,Doctor Strange
Benedict Cumberbatch,The Imitation Game
Benedict Cumberbatch,Doctor Strange in the Multiverse of Madness
Benedict Cumberbatch,Spider-Man: No Way Home
Benedict Cumberbatch,Avengers: Infinity War
Benedict Cumberbatch,Sherlock
Benedict Cumberbatch,The Grinch
Benedict Cumberbatch,The Hobbit: The Desolation of Smaug
Daniel Chapple,The Imitation Game
Daniel Chapple,Kingsman: The Secret Service
Daniel Chapple,Rush
Daniel Chapple,The Double
Daniel Chapple,The Death of Stalin
Grace Calder,The Imitation Game
Grace Calder,Prevenge
Grace Calder,Love Sarah
Grace Calder,Deadwater Fell
Grace Calder,White House Farm
Grace Calder,City of Tiny Lights
Grace Calder,Outlander
Grace Calder,The Pugilist
Ancuta Breaban,The Imitation Game
Ancuta Breaban,Paddington
Ancuta Breaban,The Gunman
Ancuta Breaban,Killing Eve
Ancuta Breaban,Gangsters Gamblers Geezers
Hayley Joanne Bacon,The Imitation Game
Hayley Joanne Bacon,In the Heart of the Sea
Hayley Joanne Bacon,The Woman in Black 2: Angel of Death
Hayley Joanne Bacon,Enchanted Kingdom
Hayley Joanne Bacon,Phantom
Tim Steed,The Imitation Game
Tim Steed,Star Wars: The Last Jedi
Tim Steed,The Death of Stalin
Tim Steed,The Current War
Tim Steed,Brexit: The Uncivil War
Tim Steed,Dead in a Week (Or Your Money Back)
Tim Steed,The Crown
Tim Steed,The Phantom of the Open
Miranda Bell,The Imitation Game
Miranda Bell,Charlotte Gray
Miranda Bell,The Franchise Affair
Miranda Bell,Solitary
Miranda Bell,As Time Goes By
Miranda Bell,The Sweeney
Miranda Bell,Hetty Wainthropp Investigates
Laurence Kennedy,The Imitation Game
Laurence Kennedy,Wimbledon
Laurence Kennedy,The Lost World
Laurence Kennedy,Complicit
Laurence Kennedy,Peter Rabbit
Laurence Kennedy,The Rizen: Possession
Laurence Kennedy,Deny Everything
Laurence Kennedy,Father Brown
Eran Barnea,The Imitation Game
Eran Barnea,Spider-Man 2
Eran Barnea,Alpha
Eran Barnea,Gold
Eran Barnea,Light of My Life
Eran Barnea,Echelon Conspiracy
Eran Barnea,The Hills Run Red
Eran Barnea,Nancy Drew and the Hidden Staircase
Angela Barson,The Imitation Game
Angela Barson,Charlie and the Chocolate Factory
Angela Barson,Now You See Me 2
Angela Barson,Casino Royale
Angela Barson,Sherlock Holmes: A Game of Shadows
Angela Barson,Troy
Angela Barson,Snow White and the Huntsman
Angela Barson,Fast Five
Lucy Ainsworth-Taylor,The Imitation Game
